race,year,winner,country,team,distance
Giro d'Italia,1912,—,Italy,Atala–Dunlop,"2,443 km (1,518 mi)"
Giro d'Italia,1913,Carlo Oriani,Italy,Maino,"2,932 km (1,822 mi)"
Giro d'Italia,1914,Alfonso Calzolari,Italy,Stucchi–Dunlop,"3,162 km (1,965 mi)"
Giro d'Italia,1915,~Not contested due to World War I,—,—,—
Giro d'Italia,1919,Costante Girardengo,Italy,Stucchi–Dunlop,"2,984 km (1,854 mi)"
Giro d'Italia,1920,Gaetano Belloni,Italy,Bianchi,"2,632 km (1,635 mi)"
Giro d'Italia,1921,Giovanni Brunero,Italy,Legnano–Pirelli,"3,107 km (1,931 mi)"
Giro d'Italia,1922,Giovanni Brunero,Italy,Legnano–Pirelli,"3,095 km (1,923 mi)"
Giro d'Italia,1923,Costante Girardengo,Italy,Maino,"3,202 km (1,990 mi)"
Giro d'Italia,1924,Giuseppe Enrici,Italy,—,"3,613 km (2,245 mi)"
Giro d'Italia,1925,Alfredo Binda,Italy,Legnano–Pirelli,"3,520 km (2,190 mi)"
Giro d'Italia,1926,Giovanni Brunero,Italy,Legnano–Pirelli,"3,430 km (2,130 mi)"
Giro d'Italia,1927,Alfredo Binda,Italy,Legnano–Pirelli,"3,758 km (2,335 mi)"
Giro d'Italia,1928,Alfredo Binda,Italy,Wolsit–Pirelli,"3,044 km (1,891 mi)"
Giro d'Italia,1929,Alfredo Binda,Italy,Legnano–Torpedo,"2,920 km (1,810 mi)"
Giro d'Italia,1930,Luigi Marchisio,Italy,Legnano–Pirelli,"3,095 km (1,923 mi)"
Giro d'Italia,1931,Francesco Camusso,Italy,Gloria–Hutchinson,"3,012 km (1,872 mi)"
Giro d'Italia,1932,Antonio Pesenti,Italy,Wolsit–Hutchinson,"3,235 km (2,010 mi)"
Giro d'Italia,1933,Alfredo Binda,Italy,Legnano–Clément,"3,343 km (2,077 mi)"
Giro d'Italia,1934,Learco Guerra,Italy,Maino–Clément,"3,706 km (2,303 mi)"
Giro d'Italia,1935,Vasco Bergamaschi,Italy,Maino–Girardengo,"3,577 km (2,223 mi)"
Giro d'Italia,1936,Gino Bartali,Italy,Legnano–Wolsit,"3,766 km (2,340 mi)"
Giro d'Italia,1937,Gino Bartali,Italy,Legnano,"3,840 km (2,390 mi)"
